name,category,calories,protein,carbs,fats
Cardamom Spiced Light Creme Brulee,breakfast,170.8,12.0,6.0,12.0
Cheesy Garlic Cardiac Arrest Bread,lunch,722.3,36.0,26.0,57.0
Angel Hair Pasta With Chicken And Garlic,lunch,499.9,45.0,14.0,41.0
Vegan Condensed Milk Substitute,lunch,0.8,0.0,0.0,0.0
Meat Pinwheels,dinner,686.5,48.0,31.0,34.0
Chicken Fried Steak With Mushroom Gravy,lunch,405.9,36.0,19.0,17.0
Crispy Tilapia Strips,lunch,295.5,54.0,9.0,12.0
White Chocolate Macadamia Nut Muffins,breakfast,294.5,8.0,10.0,26.0
Cranberry   Orange Turkey Stuffing,dinner,400.1,22.0,16.0,23.0
Curried Mashed Sweet Potatoes,dinner,153.6,5.0,8.0,6.0
Sweet And Spicy Kidney Beans,lunch,256.6,23.0,12.0,11.0
Spiced Walnut Coffee Cake,breakfast,492.7,15.0,21.0,36.0
Savory Asparagus Croissants,breakfast,575.2,51.0,11.0,57.0
Coconut Mocha Cake,dessert,875.1,27.0,40.0,61.0
Chewy Cranberry Chips Cookies,snack,181.9,4.0,7.0,13.0
Chicken With Tabbouleh  Barefoot Contessa  Ina Garten,dinner,104.2,18.0,3.0,5.0
Prune And Proscuitto Rolls,snack,68.0,1.0,6.0,0.0
Blue Ribbon Dill Pickles,dinner,3.7,0.0,0.0,0.0
Shrimp And Asparagus Stir Fry,lunch,202.5,37.0,4.0,12.0
Linda S Coleslaw,dinner,71.3,1.0,2.0,7.0
Sesame Shrimp Hearts With Passion Sauce,snack,321.0,55.0,9.0,17.0
Golden Syrup Candy  Like Hokey Pokey,dessert,319.6,0.0,28.0,0.0
Southwestern Style Baby Back Ribs From Heinzketchup Com,lunch,808.8,108.0,13.0,75.0
Fluffy Scrambled Eggs   Lightened Up A Bit,breakfast,168.6,27.0,0.0,17.0
John S Sweet Baby Carrots,dinner,161.1,0.0,9.0,8.0
Ninfa S Banana Empanadas   Empanadas De Platanos,dessert,511.7,16.0,27.0,29.0
